name,carrier,included_internal_coordinate
Batsworthy_Cross,wind_onshore,True
Fallago_Rig,wind_onshore,True
Cathkin_Braes_Wind_Farm_Castlemilk,wind_onshore,True
Mynydd_y_Betws,wind_onshore,True
Ark_Hill,wind_onshore,True
Pentland_Road_Wind_Farm,wind_onshore,True
Turncole_Wind_Farm,wind_onshore,True
Derby_Sewage_Treatment_Works,wind_onshore,True
Grange_,wind_onshore,True
Goole_Fields_ll_Wind_Farm,wind_onshore,True
Edintore_Wind_Farm,wind_onshore,True
Gremista_Wind_Farm,wind_onshore,True
Common_Barn_Wind_Farm,wind_onshore,True
Clentrie_Wind_Farm_Gevens,wind_onshore,True
Kelmarsh_Wind_Farm_Resubmission,wind_onshore,True
Torrance_Farm_Wind_Park_Extension,wind_onshore,True
Goathill_Quarry_Turbine,wind_onshore,True
Skeddoway_Farm_Wind_Turbine_,wind_onshore,True
Middle_Balbeggie_Wind_Turbines,wind_onshore,True
Upper_Holton_Wind_Farm,wind_onshore,True
Tallentire_Hill,wind_onshore,True
Meikle_Carewe_,wind_onshore,True
Andershaw,wind_onshore,True
East_Midlands_Airport,wind_onshore,True
Kildrummy_Windfarm,wind_onshore,True
Airfield_Farm_Podington_,wind_onshore,True
Dunmaglass_Wind_Farm,wind_onshore,True
Harestanes,wind_onshore,True
Corriemoillie,wind_onshore,True
Hill_of_Stroupster_Windfarm,wind_onshore,True
Burn_of_Whilk,wind_onshore,True
Lochluichart,wind_onshore,True
Burnhead,wind_onshore,True
Easter_Tolmauds,wind_onshore,True
Maerdy,wind_onshore,True
Woodlands_Barton_Wind_Project,wind_onshore,True
Westnewton,wind_onshore,True
Hare_Hill_Extension,wind_onshore,True
Avonmouth_Port___extension,wind_onshore,True
Barmoor_South_Wind_Farm_,wind_onshore,True
Winwick,wind_onshore,True
Sisters,wind_onshore,True
East_Youlstone_Wind_Farm,wind_onshore,True
Hill_of_Skilmafilly_Cloffrickford_Denmore_Wind_Farm,wind_onshore,True
Heysham_South_Wind_Farm,wind_onshore,True
Woolley_Hill_Wind_Farm,wind_onshore,True
Furness_Wind_Farm/High_Winds_Harlock_Repowering_,wind_onshore,True
Clyde_Wind_Farm_Extension_Clyde_2,wind_onshore,True
Quixwood_Moor,wind_onshore,True
Auchadaduie_Wind_Farm,wind_onshore,True
Mynydd_Brombil_Wind_Farm,wind_onshore,True
Mynydd_Portref_Wind_Farm_extension,wind_onshore,True
Longlands_Lane,wind_onshore,True
Ryder_Point_Quarry_Wind_Turbines,wind_onshore,True
Burton_Wold_Wind_Farm___Northern_Extension_,wind_onshore,True
Pearie_Law_Wind_Farm,wind_onshore,True
Crystal_Rig_Wind_Farm_Phase_III,wind_onshore,True
Drumduff,wind_onshore,True
Rhodders_Wind_Farm,wind_onshore,True
Harburnhead_Wind_Farm,wind_onshore,True
Dunsland_Cross_Wind_Farm,wind_onshore,True
Potato_Pot_Wind_Farm,wind_onshore,True
Millour_Hill_Community_Windfarm_Extension_,wind_onshore,True
Blantyre_Muir_Wind_Farm_extension,wind_onshore,True
Dorenell_Wind_Farm_Previously_Site_A_and_B_Scaut_Hill,wind_onshore,True
Earlsburn_North_Kingsburn_Wind_Farm,wind_onshore,True
Wryde_Croft,wind_onshore,True
Wandylaw,wind_onshore,True
Black_Law_Extension___1a,wind_onshore,True
Bishopthorpe,wind_onshore,True
Keadby_Wind_Farm,wind_onshore,True
Berry_Burn,wind_onshore,True
Afton_Wind_Farm,wind_onshore,True
Tormywheel,wind_onshore,True
Den_Brook,wind_onshore,True
