bmUnit,name_acquisition_date_registry,fuelType_acquisition_date_registry,bmUnitType,productionOrConsumptionFlag
T_STAY-3,Staythorpe Unit 3,CCGT,T,P
T_STAY-4,Staythorpe Unit 4,CCGT,T,P
T_STLGW-1,Stronelairg Windfarm 1,WIND,T,P
T_STLGW-2,Stronelairg Windfarm 2,WIND,T,P
T_STLGW-3,Stronelairg Windfarm 3,WIND,T,P
T_STRNW-1,Strathy North Wind Farm 1,WIND,T,P
T_SUTB-1,BMUid for Sutton Bridge Power,CCGT,T,P
T_SVRP-10,Dong Energy Severn Power Ut 10,CCGT,T,P
T_SVRP-20,Dong Energy Severn Power Ut 20,CCGT,T,P
T_FERGD-1,NR Ferguslie 1,,T,P
T_FERGD-2,NR Ferguslie 2,,T,P
T_HUMR-4,T_HUMR-4,,T,P
T_TDBNW-1,Toddleburn,WIND,T,P
T_TEBWS-1,Tebworth PV Power Park,OTHER,T,P
T_THNTO-1,Thanet Offshore Wind Limited 1,WIND,T,P
T_THNTO-2,Thanet Offshore Wind Limited 2,WIND,T,P
T_THUPG-1,T_THUPG-1,OTHER,T,P
T_THUPG-2,T_THUPG-2,OTHER,T,P
T_THUPG-3,T_THUPG-3,OTHER,T,P
T_THURB-1,T_THURB-1,OTHER,T,P
T_THURB-2,T_THURB-2,OTHER,T,P
T_THURB-3,T_THURB-3,OTHER,T,P
T_TKNEW-1,Triton Knoll OSP East 1,WIND,T,P
T_TKNWW-1,Triton Knoll OSP west 1,WIND,T,P
T_TORN-1,Torness Generator 1,NUCLEAR,T,P
T_TORN-2,Torness Generator 2,NUCLEAR,T,P
T_TORN-D,Torness Station Demand,,T,P
T_TSREP-1,MGT TEESIDE TEESREP MAIN,BIOMASS,T,P
T_TWSHW-1,Twenty Shilling Wind Farm,WIND,T,P
T_TYLNB-1,Tye Lane BESS,OTHER,T,P
T_USKM-13,Uskmouth 13,BIOMASS,T,P
T_USKMB-2,Uskmouth Battery Unit 2,OTHER,T,P
T_USKMB-3,Uskmouth Battery Unit 3,OTHER,T,P
T_USKMB-4,Uskmouth Battery Unit 4,OTHER,T,P
T_USKMB-5,Uskmouth Battery Unit 5,OTHER,T,P
T_VKNGW-1,Viking Energy Windfarm BMU-1,WIND,T,P
T_VKNGW-2,Viking Energy Windfarm BMU-2,WIND,T,P
