row,family,hour_0based,uid,multiplier
8863,thermal_lower,111,107_CC_1,-5.585061081511345
8868,thermal_upper,112,107_CC_1,-2.6745362925547287
8870,transition,112,107_CC_1,-949.4603838569286
8881,thermal_lower,114,107_CC_1,-5.585061081511345
8884,minimum_up,114,107_CC_1,-949.4603838569309
8888,transition,115,107_CC_1,2.2737367544323206e-12
8894,transition,116,107_CC_1,4.564610028642417e-13
8900,transition,117,107_CC_1,4.564610028642417e-13
8902,minimum_up,117,107_CC_1,-1.1368683772161603e-13
8917,thermal_lower,120,107_CC_1,-3.248073992637635e-15
8920,minimum_up,120,107_CC_1,-5.52172578748398e-13
8988,thermal_upper,132,107_CC_1,-6.661338147750939e-16
8990,transition,132,107_CC_1,-2.3647750424515834e-13
9008,transition,135,107_CC_1,-2.3647750424515834e-13
9014,transition,136,107_CC_1,-2.3647750424515834e-13
9020,transition,137,107_CC_1,-4.461847558090426e-13
9030,thermal_upper,139,107_CC_1,-6.661338147750939e-16
9038,transition,140,107_CC_1,2.3647750424515834e-13
9052,minimum_up,142,107_CC_1,-2.3647750424515834e-13
9064,minimum_up,144,107_CC_1,-2.0970725156388426e-13
9140,transition,157,107_CC_1,2.9558577807620168e-12
9144,thermal_upper,158,107_CC_1,-6.661338147750939e-16
9146,transition,158,107_CC_1,2.7193802765168584e-12
9152,transition,159,107_CC_1,2.9558577807620168e-12
9158,transition,160,107_CC_1,2.9558577807620168e-12
9164,transition,161,107_CC_1,8.275602425555917e-13
9170,transition,162,107_CC_1,5.910827383104333e-13
9176,transition,163,107_CC_1,3.54605234065275e-13
9562,transition,60,113_CT_1,4.884981308350689e-14
9850,transition,108,113_CT_1,9.769962616701378e-14
9862,transition,110,113_CT_1,1.9539925233402755e-13
10494,transition,48,113_CT_2,-4.884981308350689e-14
10500,transition,49,113_CT_2,-4.884981308350689e-14
10504,thermal_upper,50,113_CT_2,-8.881784197001252e-16
10506,transition,50,113_CT_2,-4.884981308350689e-14
10511,thermal_lower,51,113_CT_2,-2.220446049250313e-15
10514,minimum_up,51,113_CT_2,-4.884981308350689e-14
